"Class","Month","Min","Max","OrganismCode"
"Age-1+",7.00,81.00,1000.00,"BC"
"Age-1+",8.00,86.00,1000.00,"BC"
"Age-1+",9.00,96.00,1000.00,"BC"
"Age-1+",10.00,106.00,1000.00,"BC"
"Age-1+",11.00,106.00,1000.00,"BC"
"Age-1+",12.00,116.00,1000.00,"BC"
"Age-0",1.00,1.00,30.00,"GF"
"Age-0",2.00,1.00,30.00,"GF"
"Age-0",3.00,1.00,60.00,"GF"
"Age-0",4.00,1.00,80.00,"GF"
"Age-0",5.00,1.00,90.00,"GF"
"Age-0",6.00,1.00,100.00,"GF"
"Age-0",7.00,1.00,110.00,"GF"
"Age-0",8.00,1.00,130.00,"GF"
"Age-0",9.00,1.00,140.00,"GF"
"Age-0",10.00,1.00,140.00,"GF"
"Age-0",11.00,1.00,150.00,"GF"
"Age-0",12.00,1.00,150.00,"GF"
"Age-1+",1.00,31.00,500.00,"GF"
"Age-1+",2.00,31.00,500.00,"GF"
"Age-1+",3.00,61.00,500.00,"GF"
"Age-1+",4.00,81.00,500.00,"GF"
"Age-1+",5.00,91.00,500.00,"GF"
"Age-1+",6.00,101.00,500.00,"GF"
"Age-1+",7.00,111.00,500.00,"GF"
"Age-1+",8.00,131.00,500.00,"GF"
"Age-1+",9.00,141.00,500.00,"GF"
"Age-1+",10.00,141.00,500.00,"GF"
"Age-1+",11.00,151.00,500.00,"GF"
"Age-1+",12.00,151.00,500.00,"GF"
